key,conf,team,2pa,3pa,rim attempts,middy attempts,total minutes,2p%,3p%,assisted 3p %,rim%,assisted rim fg%,middy fg%,assisted middy fg%,rim attempt rate,middy attempt rate,3 pt rate,transition 2p%,transition 3p%,transition midrange fg%,% of assists end w/ rim,% of assists end w/ middy,% of assists end w/ 3p,off_team_poss_value,def_team_poss_value,roster_ncaa_id,offensive rapm,defensive rapm,hoop_hgt_in,pos,exp,num,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,torvik_id,fgm,ftm,fta,ft_pct,two_m,two_a,three_m,three_a,dunk_m,dunk_a,dunk_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,recruit rank,pick,fga,fg_pct,torvik_year,torvik_hgt_in,total RAPM,stls/100,blks/100,stops/100,3pa/100,midfga/100,dunkfga/100,rimfga/100,2pa/100,weight
Pavle Nikolic,(INTL) Unknown,BOR,7.6,,,,301.4,0.605263157894737,0.391,,,,,,,,0.21649484536082478,,,,,,,,,,,,79,,,,11,301.4,27.4,16.5,2.5,2.6,5.2,1.1,,0.8461538461538461,1.3,0.5,23.1,135.9,0.593,0.667,https://basketball.realgm.com/player/Pavle-Nikolic/Summary/182936,5.4,5.0,6.1,0.821,4.6000000000000005,7.6,0.8,2.1,,,,,,,112.7,,,,,,11.1,14.2,8.4,9.3,2.0,2.5,,,,,9.7,0.551,2026,79,,,,,,,,,,
Savo Drezgic,(INTL) Unknown,MEG,4.9,,,,332.4,0.5102040816326531,0.37,,,,,,,,0.5545454545454546,,,,,,,,,,,,76,,,,12,332.4,27.7,16.3,1.1,3.5,4.6,4.2,,1.2352941176470589,0.7,0.1,27.7,112.0,0.534,0.601,https://basketball.realgm.com/player/Savo-Drezgic/Summary/193910,4.8,4.5,5.8,0.783,2.5,4.9,2.3,6.1,,,,,,,121.5,,,,,,4.9,14.0,27.5,20.2,0.3,1.2,,,,,11.0,0.432,2026,76,,,,,,,,,,190.0
Urban Kroflic,(INTL) Unknown,MEG,3.5999999999999996,,,,249.0,0.44444444444444453,0.367,,,,,,,,0.4545454545454546,,,,,,,,,,,,77,,,,10,249.0,24.9,8.1,0.6,2.9,3.5,1.4,,0.6666666666666666,0.8,0.1,17.3,96.6,0.492,0.545,https://basketball.realgm.com/player/Urban-Kroflic/Summary/183915,2.7,1.6,1.9,0.842,1.6,3.5999999999999996,1.1,3.0,,,,,,,122.0,,,,,,3.0,12.9,9.3,22.0,0.4,1.6,,,,,6.6,0.409,2026,77,,,,,,,,,,190.0
Zak Smrekar,(INTL) Unknown,KRK,3.8000000000000007,,,,239.8,0.4210526315789473,0.333,,,,,,,,0.5476190476190476,,,,,,,,,,,,77,,,,11,239.8,21.8,9.9,1.0,2.1,3.1,1.5,,0.8823529411764706,0.8,0.5,24.8,102.7,0.462,0.525,https://basketball.realgm.com/player/Zak-Smrekar/Summary/201893,3.1,2.2,2.5,0.889,1.6,3.8000000000000007,1.5,4.6,,,,,,,114.8,,,,,,5.8,13.1,13.4,15.5,1.9,2.1,,,,,8.4,0.37,2026,77,,,,,,,,,,
Ben Henshall,(INTL) NBL,PER,3.8,,,,413.6,0.47368421052631576,0.296,,,,,,,,0.4571428571428572,,,,,,,,,,,,77,,,,22,413.6,18.8,7.7,0.9,1.9,2.8,2.0,,1.3333333333333333,0.8,0.3,20.7,103.9,0.467,0.511,https://basketball.realgm.com/player/Ben-Henshall/Summary/205397,2.8,1.2,1.4,0.9,1.7999999999999998,3.8,1.0,3.2,,,,,,,110.8,,,,,,5.5,10.6,16.8,16.1,1.3,2.1,,,,,7.0,0.399,2026,77,,,,,,,,,,198.0
Dash Daniels,(INTL) NBL,MEL,2.8000000000000003,,,,350.4,0.46428571428571425,0.421,,,,,,,,0.36363636363636365,,,,,,,,,,,,77,,,,24,350.4,14.6,4.9,0.8,1.5,2.3,0.9,,1.125,0.8,0.3,15.9,103.3,0.519,0.516,https://basketball.realgm.com/player/Dash-Daniels/Summary/205341,2.0,0.3,0.8,0.421,1.3,2.8000000000000003,0.7,1.6,,,,,,,108.0,,,,,,5.7,11.9,9.3,13.6,1.5,2.7,,,,,4.4,0.443,2026,77,,,,,,,,,,198.0
Dontae Nance,(INTL) NBL,PER,1.6,,,,150.0,0.5,0.087,,,,,,,,0.48387096774193544,,,,,,,,,,,,75,,,,15,150.0,10.0,2.1,0.3,1.3,1.6,1.3,,1.4444444444444444,0.5,0.1,17.3,74.9,0.326,0.331,https://basketball.realgm.com/player/Dontae-Nance/Summary/179623,0.9,0.1,0.1,0.5,0.8,1.6,0.1,1.5,,,,,,,107.8,,,,,,3.7,13.2,19.4,23.0,0.6,2.4,,,,,3.1,0.304,2026,75,,,,,,,,,,200.0
Karim Lopez,(INTL) NBL,NZB,5.199999999999999,,,,530.2,0.5576923076923077,0.364,,,,,,,,0.3658536585365854,,,,,,,,,,,,80,,,,22,530.2,24.1,10.4,1.7,4.0,5.7,1.8,,1.2857142857142858,1.1,1.0,18.0,114.7,0.556,0.581,https://basketball.realgm.com/player/Karim-Lopez/Summary/199566,4.0,1.3,1.7,0.757,2.9,5.199999999999999,1.1,3.0,,,,,,,106.7,,,,,,7.4,18.0,10.8,13.3,4.0,2.2,,,,,8.2,0.489,2026,80,,,,,,,,,,
Luca Yates,(INTL) NBL,ILL,0.6000000000000001,,,,61.199999999999996,0.3333333333333333,0.0,,,,,,,,0.25,,,,,,,,,,,,82,,,,12,61.199999999999996,5.1,0.5,0.3,0.3,0.6,0.1,,0.33333333333333337,0.1,0.1,10.4,62.4,0.2,0.246,https://basketball.realgm.com/player/Luca-Yates/Summary/179770,0.2,0.2,0.4,0.4,0.2,0.6000000000000001,0.0,0.2,,,,,,,117.9,,,,,,7.1,5.0,2.0,19.7,1.5,0.8,,,,,0.8,0.2,2026,82,,,,,,,,,,225.0
Malique Lewis,(INTL) NBL,SEM,2.5,,,,319.5,0.3999999999999999,0.408,,,,,,,,0.5689655172413793,,,,,,,,,,,,80,,,,15,319.5,21.3,6.1,1.3,3.0,4.3,2.0,,3.3333333333333335,1.3,0.7,12.0,118.3,0.517,0.518,https://basketball.realgm.com/player/Malique-Lewis/Summary/189653,2.3,0.1,0.1,0.5,0.9999999999999998,2.5,1.3,3.3,,,,,,,106.2,,,,,,5.8,17.1,12.0,9.3,3.3,3.0,,,,,5.8,0.402,2026,80,,,,,,,,,,195.0
Noa Kouakou-Heugue,(INTL) NBL,PER,1.1,,,,52.800000000000004,0.7272727272727273,0.0,,,,,,,,0.0,,,,,,,,,,,,82,,,,12,52.800000000000004,4.4,1.8,0.7,0.6,1.3,0.1,,,0.0,0.0,13.4,150.3,0.692,0.666,https://basketball.realgm.com/player/Noa-Kouakou-Heugue/Summary/207942,0.8,0.3,0.7,0.5,0.8,1.1,0.0,0.0,,,,,,,114.8,,,,,,16.4,14.2,3.0,0.0,0.0,0.0,,,,,1.1,0.692,2026,82,,,,,,,,,,207.0
Tristan Devers,(INTL) NBL,BRI,2.6000000000000005,,,,357.0,0.46153846153846145,0.368,,,,,,,,0.40909090909090906,,,,,,,,,,,,75,,,,21,357.0,17.0,5.5,0.6,0.9,1.5,1.3,,1.4444444444444444,0.6,0.1,15.1,105.4,0.5,0.54,https://basketball.realgm.com/player/Tristan-Devers/Summary/199722,1.9,1.1,1.6,0.697,1.2,2.6000000000000005,0.7,1.8,,,,,,,119.6,,,,,,4.1,6.0,11.6,15.1,0.7,1.6,,,,,4.4,0.424,2026,75,,,,,,,,,,
