key,conf,team,2pa,3pa,rim attempts,middy attempts,total minutes,2p%,3p%,assisted 3p %,rim%,assisted rim fg%,middy fg%,assisted middy fg%,rim attempt rate,middy attempt rate,3 pt rate,transition 2p%,transition 3p%,transition midrange fg%,% of assists end w/ rim,% of assists end w/ middy,% of assists end w/ 3p,off_team_poss_value,def_team_poss_value,roster_ncaa_id,offensive rapm,defensive rapm,hoop_hgt_in,pos,exp,num,g,min,mpg,ppg,oreb,dreb,rpg,apg,tov,ast_to,spg,bpg,usg,ortg,efg,ts,torvik_id,fgm,ftm,fta,ft_pct,two_m,two_a,three_m,three_a,dunk_m,dunk_a,dunk_pct,porpag,dporpag,adj_oe,drtg,adj_de,stops,obpm,dbpm,bpm,oreb_rate,dreb_rate,ast,to,blk,stl,ftr,pfr,recruit rank,pick,fga,fg_pct,torvik_year,torvik_hgt_in,total RAPM,stls/100,blks/100,stops/100,3pa/100,midfga/100,dunkfga/100,rimfga/100,2pa/100,weight
Sadik Kabaca,(INTL) TURK. BSL,BES,2.6,,,,484.3,0.42307692,0.25,,,,,,,,0.39534884,,,,,,,,,,,,82,,,,29,484.3,16.7,4.2,1.4,1.7,3.1,0.9,,0.69230769,0.5,0.4,17.4,90.1,0.403,0.433,https://basketball.realgm.com/player/Sadik-Kabaca/Summary/133192,1.5,0.8,1.4,0.561,1.1,2.6,0.4,1.7,,,,,,,114.1,,,,,,11.2,13,8.3,20.7,2.4,1.6,,,,,4.3,0.355,2021,82,,,,,,,,,,215
Sehmus Hazer,(INTL) TURK. BSL,BES,7.9,,,,1065.9,0.5443038,0.298,,,,,,,,0.31896552,,,,,,,,,,,,75,,,,33,1065.9,32.3,14.9,1,2.8,3.8,4.1,,1.95238095,1.4,0.2,22.4,113.9,0.516,0.558,https://basketball.realgm.com/player/Sehmus-Hazer/Summary/94464,5.4,3,4.1,0.731,4.3,7.9,1.1,3.7,,,,,,,116.7,,,,,,4,10.7,20.8,13.7,0.5,2.3,,,,,11.6,0.469,2021,75,,,,,,,,,,198
Tarik Biberovic,(INTL) TURK. BSL,FEN,2.6,,,,584.5,0.61538462,0.456,,,,,,,,0.46938776,,,,,,,,,,,,79,,,,35,584.5,16.7,6.8,0.2,2.2,2.4,1.2,,1.5,0.5,0.2,17.8,119,0.647,0.663,https://basketball.realgm.com/player/Tarik-Biberovic/Summary/105732,2.6,0.5,0.7,0.826,1.6,2.6,1,2.3,,,,,,,106.7,,,,,,1.5,16.4,12,13.9,1.2,1.5,,,,26,4.9,0.541,2021,79,,,,,,,,,,218
Yigit Baran Sarikaya,(INTL) TURK. BSL,OGA,2.2,,,,87.1,0.68181818,0.3,,,,,,,,0.26666667,,,,,,,,,,,,80,,,,13,87.1,6.7,3.9,0.9,0.5,1.4,0.1,,0.25,0.2,0,26.5,109.9,0.603,0.594,https://basketball.realgm.com/player/Yigit-Baran-Sarikaya/Summary/111541,1.7,0.4,0.7,0.556,1.5,2.2,0.2,0.8,,,,,,,131,,,,,,16.3,9.5,2.9,10.4,0,1.2,,,,,3,0.564,2021,80,,,,,,,,,,
Yigit Onan,(INTL) TURK. BSL,FEN,0.5,,,,46.2,0.8,0.2,,,,,,,,0.5,,,,,,,,,,,,82,,,,11,46.2,4.2,1.2,0.2,0.7,0.9,0.4,,1,0,0,16.5,100.9,0.5,0.547,https://basketball.realgm.com/player/Yigit-Onan/Summary/148855,0.5,0.2,0.2,1,0.4,0.5,0.1,0.5,,,,,,,108.3,,,,,,6.4,20.2,11.6,25.2,0,0,,,,,1,0.455,2021,82,,,,,,,,,,
Yigitcan Saybir,(INTL) TURK. BSL,EFE,2.1,,,,382.8,0.66666667,0.268,,,,,,,,0.36363636,,,,,,,,,,,,79,,,,33,382.8,11.6,4.7,0.7,1.4,2.1,0.6,,3,0.5,0.1,16.4,134.3,0.56,0.63,https://basketball.realgm.com/player/Yigitcan-Saybir/Summary/103509,1.7,0.9,1.1,0.861,1.4,2.1,0.3,1.2,,,,,,,104.2,,,,,,8.5,15.1,7.6,5.4,0.8,2.2,,,,,3.3,0.509,2021,79,,,,,,,,,,200
Alperen Sengun,(INTL) TURK. BSL,BVS,3.6,,,,297,0.58333333,0,,,,,,,,0.12195122,,,,,,,,,,,,83,,,,22,297,13.5,5,1.4,2.5,3.9,0.6,,0.66666667,0.5,0.4,19.7,105.9,0.511,0.53,https://basketball.realgm.com/player/Alperen-Sengun/Summary/137853,2.1,0.8,1.3,0.586,2.1,3.6,0,0.5,,,,,,,105.1,,,,,,13.6,22.8,7.7,15.6,2.9,2,,,,16,4.1,0.511,2020,83,,,,,,,,,,243
Arda Erdogan,(INTL) TURK. BSL,DEM,0.6,,,,138.6,0.16666667,0.1,,,,,,,,0.5,,,,,,,,,,,,74,,,,18,138.6,7.7,0.4,0.1,0.6,0.7,1.3,,1.44444444,0.2,0,12.5,49,0.159,0.159,https://basketball.realgm.com/player/Arda-Erdogan/Summary/94461,0.2,0,0,0,0.1,0.6,0.1,0.6,,,,,,,121.1,,,,,,1.7,9.2,26.5,42.1,0,1.5,,,,,1.2,0.136,2020,74,,,,,,,,,,184
Atakan Erdek,(INTL) TURK. BSL,BVS,0.9,,,,92.4,0.44444444,0,,,,,,,,0.30769231,,,,,,,,,,,,76,,,,14,92.4,6.6,0.9,0,0.6,0.6,0.6,,1.2,0.1,0,13.2,68.9,0.333,0.344,https://basketball.realgm.com/player/Atakan-Erdek/Summary/108919,0.4,0.1,0.1,0.5,0.4,0.9,0,0.4,,,,,,,108.9,,,,,,0,11.8,12,27,0,0.6,,,,,1.3,0.333,2020,76,,,,,,,,,,204
Cengizhan Ivedi,(INTL) TURK. BSL,DEM,2.3,,,,245.7,0.56521739,0.16,,,,,,,,0.34285714,,,,,,,,,,,,77,,,,21,245.7,11.7,3.8,0.9,1.6,2.4,0.6,,1.5,0.3,0,16.9,102.4,0.446,0.488,https://basketball.realgm.com/player/Cengizhan-Ivedi/Summary/104425,1.5,0.7,0.9,0.778,1.3,2.3,0.2,1.2,,,,,,,119.8,,,,,,8.1,15.6,9.4,9.9,0.4,1.3,,,,,3.5,0.419,2020,77,,,,,,,,,,
Furkan Haltali,(INTL) TURK. BSL,BVS,2.5,,,,236,0.56,0,,,,,,,,0,,,,,,,,,,,,82,,,,20,236,11.8,3.4,1.4,1.6,2.9,0.4,,0.66666667,0.4,0.3,14.4,115.5,0.551,0.567,https://basketball.realgm.com/player/Furkan-Haltali/Summary/122568,1.4,0.7,1.3,0.56,1.4,2.5,0,0,,,,,,,105.5,,,,,,14.9,15.9,5.1,15.5,2.3,1.9,,,,,2.5,0.551,2020,82,,,,,,,,,,210
Muhaymin Mustafa,(INTL) TURK. BSL,TOF,1.2,,,,208,0.41666667,0.345,,,,,,,,0.55555556,,,,,,,,,,,,77,,,,20,208,10.4,3,0.1,0.7,0.8,0.6,,1,0.3,0.1,16.7,93,0.463,0.499,https://basketball.realgm.com/player/Muhaymin-Mustafa/Summary/96506,1,0.5,0.7,0.714,0.5,1.2,0.5,1.5,,,,,,,108.2,,,,,,1.4,8.2,8.3,16.6,0.5,1.6,,,,,2.7,0.37,2020,77,,,,,,,,,,187
