year,pick,player_name,player_name_lower
2010,40,Lance Stephenson,lance stephenson
2010,41,Jarvis Varnado,jarvis varnado
2010,42,Da'Sean Butler,da'sean butler
2010,43,Devin Ebanks,devin ebanks
2010,44,Jerome Jordan,jerome jordan
2010,45,Paulao Prestes,paulao prestes
2010,46,Gani Lawal,gani lawal
2010,47,Tiny Gallon,tiny gallon
2010,48,Latavious Williams,latavious williams
2010,49,Ryan Richards,ryan richards
2010,50,Solomon Alabi,solomon alabi
2010,51,Magnum Rolle,magnum rolle
2010,52,Luke Harangody,luke harangody
2010,53,Pape Sy,pape sy
2010,54,Willie Warren,willie warren
2010,55,Jeremy Evans,jeremy evans
2010,56,Hamady N'Diaye,hamady n'diaye
2010,57,Ryan Reid,ryan reid
2010,58,Derrick Caracter,derrick caracter
2010,59,Stanley Robinson,stanley robinson
2010,60,Dwayne Collins,dwayne collins
2011,1,Kyrie Irving,kyrie irving
2011,2,Derrick Williams,derrick williams
2011,3,Enes Kanter,enes kanter
2011,4,Tristan Thompson,tristan thompson
2011,5,Jonas Valanciunas,jonas valanciunas
2011,6,Jan Vesely,jan vesely
2011,7,Bismack Biyombo,bismack biyombo
2011,8,Brandon Knight,brandon knight
2011,9,Kemba Walker,kemba walker
2011,10,Jimmer Fredette,jimmer fredette
2011,11,Klay Thompson,klay thompson
2011,12,Alec Burks,alec burks
2011,13,Markieff Morris,markieff morris
2011,14,Marcus Morris,marcus morris
2011,15,Kawhi Leonard,kawhi leonard
2011,16,Nikola Vucevic,nikola vucevic
2011,17,Iman Shumpert,iman shumpert
2011,18,Chris Singleton,chris singleton
2011,19,Tobias Harris,tobias harris
2011,20,Donatas Motiejunas,donatas motiejunas
2011,21,Nolan Smith,nolan smith
2011,22,Kenneth Faried,kenneth faried
2011,23,Nikola Mirotic,nikola mirotic
2011,24,Reggie Jackson,reggie jackson
2011,25,MarShon Brooks,marshon brooks
2011,26,Jordan Hamilton,jordan hamilton
2011,27,JaJuan Johnson,jajuan johnson
2011,28,Norris Cole,norris cole
2011,29,Cory Joseph,cory joseph
2011,30,Jimmy Butler,jimmy butler
2011,31,Bojan Bogdanovic,bojan bogdanovic
2011,32,Justin Harper,justin harper
2011,33,Kyle Singler,kyle singler
2011,34,Shelvin Mack,shelvin mack
2011,35,Tyler Honeycutt,tyler honeycutt
2011,36,Jordan Williams,jordan williams
2011,37,Trey Thompkins,trey thompkins
2011,38,Chandler Parsons,chandler parsons
2011,39,Jeremy Tyler,jeremy tyler
2011,40,Jon Leuer,jon leuer
2011,41,Darius Morris,darius morris
2011,42,Davis Bertans,davis bertans
2011,43,Malcolm Lee,malcolm lee
2011,44,Charles Jenkins,charles jenkins
2011,45,Josh Harrellson,josh harrellson
2011,46,Andrew Goudelock,andrew goudelock
2011,47,Travis Leslie,travis leslie
2011,48,Keith Benson,keith benson
2011,49,Josh Selby,josh selby
2011,50,Lavoy Allen,lavoy allen
2011,51,Jon Diebler,jon diebler
2011,52,Vernon Macklin,vernon macklin
2011,53,DeAndre Liggins,deandre liggins
2011,54,Milan Macvan,milan macvan
2011,55,E'Twaun Moore,e'twaun moore
2011,56,Chu Maduabum,chu maduabum
2011,57,Tanguy Ngombo,tanguy ngombo
2011,58,Ater Majok,ater majok
2011,59,Adam Hanga,adam hanga
2011,60,Isaiah Thomas,isaiah thomas
2012,1,Anthony Davis,anthony davis
2012,2,Michael Kidd-Gilchrist,michael kidd-gilchrist
2012,3,Bradley Beal,bradley beal
2012,4,Dion Waiters,dion waiters
2012,5,Thomas Robinson,thomas robinson
2012,6,Damian Lillard,damian lillard
2012,7,Harrison Barnes,harrison barnes
2012,8,Terrence Ross,terrence ross
2012,9,Andre Drummond,andre drummond
2012,10,Austin Rivers,austin rivers
2012,11,Meyers Leonard,meyers leonard
2012,12,Jeremy Lamb,jeremy lamb
2012,13,Kendall Marshall,kendall marshall
2012,14,John Henson,john henson
2012,15,Maurice Harkless,maurice harkless
2012,16,Royce White,royce white
2012,17,Tyler Zeller,tyler zeller
2012,18,Terrence Jones,terrence jones
2012,19,Andrew Nicholson,andrew nicholson
2012,20,Evan Fournier,evan fournier
2012,21,Jared Sullinger,jared sullinger
2012,22,Fab Melo,fab melo
2012,23,John Jenkins,john jenkins
2012,24,Jared Cunningham,jared cunningham
2012,25,Tony Wroten,tony wroten
2012,26,Miles Plumlee,miles plumlee
2012,27,Arnett Moultrie,arnett moultrie
2012,28,Perry Jones,perry jones
2012,29,Marquis Teague,marquis teague
2012,30,Festus Ezeli,festus ezeli
2012,31,Jeffery Taylor,jeffery taylor
2012,32,Tomas Satoransky,tomas satoransky
2012,33,Bernard James,bernard james
2012,34,Jae Crowder,jae crowder
2012,35,Draymond Green,draymond green
2012,36,Orlando Johnson,orlando johnson
2012,37,Quincy Acy,quincy acy
2012,38,Quincy Miller,quincy miller
2012,39,Khris Middleton,khris middleton
2012,40,Will Barton,will barton
2012,41,Tyshawn Taylor,tyshawn taylor
2012,42,Doron Lamb,doron lamb
2012,43,Mike Scott,mike scott
2012,44,Kim English,kim english
2012,45,Justin Hamilton,justin hamilton
2012,46,Darius Miller,darius miller
2012,47,Kevin Murphy,kevin murphy
2012,48,Kostas Papanikolaou,kostas papanikolaou
2012,49,Kyle O'Quinn,kyle o'quinn
2012,50,Izzet Turkyilmaz,izzet turkyilmaz
2012,51,Kris Joseph,kris joseph
2012,52,Ognjen Kuzmic,ognjen kuzmic
2012,53,Furkan Aldemir,furkan aldemir
2012,54,Tornike Shengelia,tornike shengelia
2012,55,Darius Johnson-Odom,darius johnson-odom
2012,56,Tomislav Zubcic,tomislav zubcic
2012,57,Ilkan Karaman,ilkan karaman
2012,58,Robbie Hummel,robbie hummel
2012,59,Marcus Denmon,marcus denmon
2012,60,Robert Sacre,robert sacre
2013,1,Anthony Bennett,anthony bennett
2013,2,Victor Oladipo,victor oladipo
2013,3,Otto Porter,otto porter
2013,4,Cody Zeller,cody zeller
2013,5,Alex Len,alex len
2013,6,Nerlens Noel,nerlens noel
2013,7,Ben McLemore,ben mclemore
2013,8,Kentavi. Caldwell-Pope,kentavi. caldwell-pope
2013,9,Trey Burke,trey burke
2013,10,CJ McCollum,cj mccollum
2013,11,Micha. Carter-Williams,micha. carter-williams
2013,12,Steven Adams,steven adams
2013,13,Kelly Olynyk,kelly olynyk
2013,14,Shabazz Muhammad,shabazz muhammad
2013,15,Giannis Antetokounmpo,giannis antetokounmpo
2013,16,Lucas Nogueira,lucas nogueira
2013,17,Dennis Schroder,dennis schroder
2013,18,Shane Larkin,shane larkin
2013,19,Sergey Karasev,sergey karasev
2013,20,Tony Snell,tony snell
2013,21,Gorgui Dieng,gorgui dieng
2013,22,Mason Plumlee,mason plumlee
2013,23,Solomon Hill,solomon hill
2013,24,Tim Hardaway Jr.,tim hardaway jr.
2013,25,Reggie Bullock,reggie bullock
2013,26,Andre Roberson,andre roberson
2013,27,Rudy Gobert,rudy gobert
2013,28,Livio Jean-Charles,livio jean-charles
2013,29,Archie Goodwin,archie goodwin
2013,30,Nemanja Nedovic,nemanja nedovic
2013,31,Allen Crabbe,allen crabbe
2013,32,Alex Abrines,alex abrines
2013,33,Carrick Felix,carrick felix
2013,34,Isaiah Canaan,isaiah canaan
2013,35,Glen Rice Jr.,glen rice jr.
2013,36,Ray McCallum Jr.,ray mccallum jr.
2013,37,Tony Mitchell,tony mitchell
2013,38,Nate Wolters,nate wolters
2013,39,Jeff Withey,jeff withey
2013,40,Grant Jerrett,grant jerrett
2013,41,Jamaal Franklin,jamaal franklin
2013,42,Pierre Jackson,pierre jackson
