year,pick,player_name,profile_url,career_ast_pct,career_stl_pct,career_blk_pct,career_bpm,career_obpm,career_dbpm,career_vorp,career_ws,career_ws48,career_per,career_ts_pct,career_usg_pct
2008,41,Nathan Jawai,https://www.basketball-reference.com/players/j/jawaina01.html,14.8,13.8,8.4,-3.5,0.2,0.02,-0.9,0.0,0.2,2.0,431.0,1.6
2008,42,Sean Singletary,https://www.basketball-reference.com/players/s/singlse01.html,9.8,7.0,14.4,-5.1,0.0,0.006,0.0,-0.2,0.2,2.0,303.0,0.0
2008,43,Patrick Ewing,https://www.basketball-reference.com/players/e/ewingpa02.html,6.4,6.4,14.2,-5.6,-0.1,-0.158,-3.4,-0.1,0.0,0.0,19.0,4.4
2008,44,Ante Tomić,https://www.basketball-reference.com/players/t/tomican01.html,,,,,,,,,,,,
2008,45,Goran Dragić,https://www.basketball-reference.com/players/d/dragigo01.html,,,,,,,,,,,,
2008,46,Trent Plaisted,https://www.basketball-reference.com/players/p/plaistr01.html,,,,,,,,,,,,
2008,47,Henry Walker,https://www.basketball-reference.com/players/w/walkebi01.html,13.3,7.7,8.0,-1.5,5.0,0.079,-0.2,2.5,2.5,35.0,3016.0,0.7
2008,48,Malik Hairston,https://www.basketball-reference.com/players/h/hairsma01.html,13.0,9.6,9.6,-2.7,0.8,0.086,0.8,0.2,0.7,0.0,472.0,2.5
2008,49,Richard Hendrix,https://www.basketball-reference.com/players/h/hendrri02.html,,,,,,,,,,,,
2008,50,DeVon Hardin,https://www.basketball-reference.com/players/h/hardide01.html,,,,,,,,,,,,
2008,51,Shan Foster,https://www.basketball-reference.com/players/f/fostesh01.html,,,,,,,,,,,,
2008,52,Darnell Jackson,https://www.basketball-reference.com/players/j/jacksda01.html,12.6,11.4,3.8,-4.3,1.3,0.059,-0.9,0.2,1.1,4.0,1039.0,0.8
2008,53,Tadija Dragićević,https://www.basketball-reference.com/players/d/dragita01.html,,,,,,,,,,,,
2008,54,Maarty Leunen,https://www.basketball-reference.com/players/l/leunema01.html,,,,,,,,,,,,
2008,55,Mike Taylor,https://www.basketball-reference.com/players/t/taylomi01.html,10.0,6.5,22.9,-4.1,-0.4,-0.028,-1.1,-0.9,0.4,5.0,771.0,0.0
2008,56,Sasha Kaun,https://www.basketball-reference.com/players/k/kaunsa01.html,16.5,15.5,4.5,-3.3,0.2,0.096,0.5,0.0,0.2,0.0,95.0,4.3
2008,57,James Gist,https://www.basketball-reference.com/players/g/gistja01.html,,,,,,,,,,,,
2008,58,Joe Crawford,https://www.basketball-reference.com/players/c/crawfjo01.html,14.8,9.5,6.5,-2.5,0.0,0.037,-0.2,0.0,0.0,0.0,23.0,0.0
2008,59,Deron Washington,https://www.basketball-reference.com/players/w/washide02.html,,,,,,,,,,,,
2008,60,Semih Erden,https://www.basketball-reference.com/players/e/erdense01.html,16.8,12.2,4.9,-4.6,1.8,0.094,1.0,0.5,1.3,17.0,928.0,2.4
2009,1,Blake Griffin,https://www.basketball-reference.com/players/g/griffbl01.html,21.3,14.2,21.6,3.1,81.1,0.16,0.2,53.0,28.2,692.0,24384.0,1.2
2009,2,Hasheem Thabeet,https://www.basketball-reference.com/players/t/thabeha01.html,18.9,14.7,1.6,-4.4,4.8,0.099,1.7,1.3,3.6,20.0,2357.0,6.0
2009,3,James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,,,,,,,,,,,,
2009,4,Tyreke Evans,https://www.basketball-reference.com/players/e/evansty01.html,14.0,8.5,26.3,1.1,28.4,0.075,-0.3,15.0,13.4,426.0,18242.0,1.0
2009,5,Ricky Rubio,https://www.basketball-reference.com/players/r/rubiori01.html,13.1,7.7,36.4,-0.3,42.3,0.098,0.9,18.2,24.1,603.0,20694.0,0.4
2009,6,Jonny Flynn,https://www.basketball-reference.com/players/f/flynnjo01.html,8.1,4.6,26.7,-1.7,-1.1,-0.015,-2.4,-2.1,1.0,90.0,3738.0,0.1
2009,7,Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html,12.6,7.5,30.7,6.2,146.3,0.196,0.2,106.0,40.3,1049.0,35908.0,0.6
2009,8,Jordan Hill,https://www.basketball-reference.com/players/h/hilljo01.html,21.9,17.1,7.0,-1.0,16.4,0.102,-1.0,8.7,7.7,120.0,7692.0,2.6
2009,9,DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html,11.9,7.1,19.5,1.5,111.3,0.126,-0.7,81.2,30.1,1213.0,42487.0,0.8
2009,10,Brandon Jennings,https://www.basketball-reference.com/players/j/jennibr01.html,9.1,5.5,30.2,1.3,29.9,0.085,-0.5,15.2,14.7,429.0,16844.0,0.5
2009,11,Terrence Williams,https://www.basketball-reference.com/players/w/willite01.html,19.5,10.7,21.5,-2.1,-0.2,-0.004,-0.7,-2.5,2.3,9.0,2922.0,0.5
2009,12,Gerald Henderson,https://www.basketball-reference.com/players/h/hendege02.html,11.6,7.0,12.8,-1.2,18.3,0.063,-0.6,8.7,9.6,333.0,13854.0,1.0
2009,13,Tyler Hansbrough,https://www.basketball-reference.com/players/h/hansbty01.html,16.5,14.1,4.1,-1.2,20.2,0.134,-0.8,11.4,8.8,50.0,7233.0,1.0
