"Rashaun Agee","Texas A&M",SEC,17,58.2,126.3,23.3,55.3,60.82,12.9,26.9,13,11.8,66,87,0.759,68,108,0.63,7,34,0.206,4.3,2.5,61.3,Sr,6-7,12,3.08883,130.625,4.1,2026,71003,"Chicago, IL",,1.42855997,56,84,12,24,0.6667,0.5000,10,11,0.9091,,96.2285,94.5809,3.22051,101.703,8.10367,3.71884,4.38483,7.66502,23.8118,5.25049,2.41453,2.7647,5.8235,8.5882,1.7647,1.1176,0.8824,13.1176,PF/C,4.44614,2000-11-02
"Tyler Cochran","Rhode Island",A10,18,72.9,104.9,23.5,44.8,50.07,5.2,16.8,12.4,14.1,54,73,0.74,52,107,0.486,20,76,0.263,1,6.3,39.9,Sr,6-2,23,1.49112,107.156,3.4,2026,71025,"Bolingbrook, IL",,1.10346969,44,83,8,24,0.5301,0.3333,0,0,,,92.7568,92.5263,4.2381,127.75,4.4494,0.396218,4.05318,4.64214,29.1556,0.234616,4.40752,1.2222,4.0000,5.2222,1.7778,3.0556,0.2222,12.1111,"Combo G",8.69823,2000-10-15
"Curt Lewis","Southern Miss",SB,17,69.3,115.4,11.2,52.6,53.99,3,9.9,6.7,10.8,10,14,0.714,8,22,0.364,29,76,0.382,1.5,2.3,14.3,Sr,6-5,1,0.65966,99.2791,2.5,2026,71299,"Louisville, KY",,1.69234141,5,10,3,12,0.5000,0.2500,1,1,1.0000,,109.082,109.87,2.35987,79.3854,1.48232,0.446881,1.03544,0.91525,26.7895,0.0801762,0.835073,0.6842,2.3158,3.0000,1.1579,1.0526,0.3158,6.6316,"Wing G",9.16273,2000-10-15
"Chase Johnston","High Point",BSth,15,33,121.7,15.6,59.2,59.78,2.5,7.2,5.2,9.5,2,2,1,0,1,0,30,75,0.4,0.5,3.5,2.6,Sr,6-3,99,1.03644,112.448,4.6,2026,71441,"Boca Raton, FL",,2.00030008,0,0,0,1,,0.0000,0,0,,,102.989,107.667,1.38414,40.3216,2.50894,3.52928,-1.02035,2.16246,15.0444,2.50675,-0.344285,0.3333,0.7778,1.1111,0.6667,0.8889,0.0556,6.7778,"Scoring PG",18.5132,2000-10-15
"Devan Cambridge",UCF,B12,16,47.1,126.9,15.5,56.9,61.41,8.7,19.3,9.4,14.3,28,38,0.737,25,39,0.641,8,26,0.308,4.2,1.7,58.5,Sr,6-6,35,1.97728,122.667,4.4,2026,71448,"Nashville, TN",57.2,1.58333333,25,37,0,2,0.6757,0.0000,8,9,0.8889,,101.793,98.5218,2.34635,64.7117,7.83423,3.82452,4.00971,6.19128,18.8375,3.2745,2.91678,1.4375,3.2500,4.6875,1.1875,0.5625,0.6875,6.3750,"Wing F",4.79791,2001-01-30
"Gianni Hunt","East Texas A&M",Slnd,16,73.4,97.5,20,46.6,50.95,2.6,14.8,30.2,22.2,33,47,0.702,33,65,0.508,15,54,0.278,0.5,2.9,39.5,Sr,6-4,25,0.713524,99.4247,2.4,2026,71463,"Lakewood, CA",35.8,2.18914193,29,49,4,16,0.5918,0.2500,0,0,,,109.256,109.678,2.519,89.2519,-0.146871,-0.931926,0.785055,-0.690901,28.0222,-1.2534,0.562504,0.6667,3.6111,4.2778,4.5000,1.6111,0.1111,8.2222,"Scoring PG",6.49147,2000-08-06
"Morgan Safford","Kent St.",MAC,16,79.1,115.2,18.9,49.7,54.69,6.9,13.3,9.3,13.2,50,64,0.781,28,64,0.438,37,104,0.356,2,1.5,38.1,Sr,6-5,8,1.98818,110.521,3.4,2026,71540,"Columbus, OH",,1.19998643,23,44,5,20,0.5227,0.2500,1,1,1.0000,,113.559,112.063,2.45503,88.7956,1.99771,2.2204,-0.222683,0.560762,31.1765,1.87551,-1.31475,1.8824,3.8235,5.7059,1.7647,1.0000,0.5294,14.0588,"Wing F",10.8542,2001-02-23
"Matt Van Komen",Marshall,SB,17,52,119.2,17.3,75.7,76.49,14.8,23.4,4.8,28.7,23,30,0.767,56,74,0.757,0,0,0,12.3,0.8,40.5,Sr,7-4,13,1.56301,114.073,4,2026,71578,"Lehi, UT",55.0,0.32261060,49,56,7,18,0.8750,0.3889,28,29,0.9655,,101.444,102.119,2.32911,84.0423,4.04767,-0.84659,4.89426,3.3157,20.4500,1.67061,1.6451,2.6667,4.5556,7.2222,0.5556,0.2778,2.3889,7.9444,C,0,2000-10-15
"Jordan Brinson","Cal St. Northridge",BW,16,40.1,98.3,10.5,38.4,44.31,1.6,13.5,13.9,18.6,11,14,0.786,9,15,0.6,5,28,0.179,0,0.6,32.6,Sr,6-2,23,-0.428368,85.1848,2.6,2026,71663,"Inglewood, CA",,2.79985616,5,10,4,5,0.5000,0.8000,0,0,,,114.473,114.95,1.15267,42.8771,-3.39556,-2.05183,-1.34374,-4.0219,16.6833,-2.98017,-1.04173,0.2222,2.2778,2.5000,1.5556,0.3889,0.0000,3.0000,"Wing G",5.44909,1999-12-31
"Hosana Kitenge","UC Santa Barbara",BW,15,51,98.9,24.8,51.6,54.64,6.5,16.8,18.2,24,29,45,0.644,45,88,0.511,2,5,0.4,4.3,1.9,48.4,Sr,6-8,34,0.76636,103.236,7.7,2026,71791,"Crawley, United Kingdom",,0.87499997,40,73,5,15,0.5479,0.3333,0,0,,,109.5,111.216,1.64343,57.2241,-2.18726,-2.97241,0.785154,-3.45321,19.6294,-3.3456,-0.107612,1.1765,2.7059,3.8824,1.6471,0.6471,0.6471,8.1176,PF/C,0.958815,2000-12-17
"Liam McChesney",Creighton,BE,4,1.1,44.9,35.7,25,25,13.9,12.4,0,38.8,0,0,0,1,2,0.5,0,2,0,10.8,6.9,0,Jr,6-10,13,-0.33934,46.3972,4.7,2026,71840,"Prince Rupert, Canada",65.6,0.00000000,1,1,0,1,1.0000,0.0000,1,1,1.0000,,90.4606,84.7187,0.366465,2.56729,-13.3148,-18.1696,4.85482,-19.0265,2.1250,-17.8271,-1.19946,0.2500,0.2500,0.5000,0.0000,0.2500,0.2500,0.5000,PF/C,13.9892,2001-09-26
"Tariq Ingraham",Memphis,Amer,14,21.4,104.8,19.9,47.4,53.13,10.2,12.6,4.2,16.4,17,25,0.68,18,36,0.5,0,2,0,2.6,0,65.8,Sr,6-9,19,0.547065,108.531,5.2,2026,71940,"Philadelphia, PA",8.8,0.37504377,15,29,3,7,0.5172,0.4286,4,5,0.8000,,108.729,103.476,1.05048,19.1686,-3.46829,-2.86465,-0.603645,-1.44462,9.8714,-1.46794,0.0233202,0.9286,1.1429,2.0714,0.2143,0.0000,0.2143,3.7857,C,0.814085,2000-10-03
"Josh Ogundele",Hampton,CAA,12,33.2,105.1,19.9,54.4,57.53,10.6,9.6,9.4,21.4,23,37,0.622,23,42,0.548,1,3,0.333,2.3,2.8,82.2,Sr,7-0,23,0.701896,103.845,4.9,2026,72241,"London, United Kingdom",17.8,0.52940277,21,37,2,5,0.5676,0.4000,1,2,0.5000,,105.543,111.566,1.40348,36.7286,-0.261737,-1.0708,0.80906,-1.11765,17.2769,-0.995888,-0.121764,1.7692,1.6154,3.3846,0.6923,0.8462,0.4615,5.8462,"Wing F",0.850073,2000-12-19
"Jahari Long","George Mason",A10,17,80.9,118,17.6,55.1,59.9,1.2,10.3,21.6,17.3,44,56,0.786,37,74,0.5,22,53,0.415,0.5,0.7,44.1,Sr,6-5,2,2.10691,111.171,2.6,2026,72254,"Houston, TX",52.4,2.23327528,27,43,10,31,0.6279,0.3226,0,0,,,106.741,107.344,3.04156,80.0516,0.628373,1.27146,-0.643087,0.80184,32.3889,1.05833,-0.256495,0.2778,3.0556,3.3333,3.7222,0.3889,0.1667,11.6111,"Combo G",5.75673,2001-10-15
"Javon Cooley",Pepperdine,WCC,18,74.4,108.8,19.9,51.2,58.01,3,16.7,7,14.9,57,63,0.905,48,85,0.565,24,79,0.304,0.4,1.6,38.4,Sr,6-5,23,1.77233,109.577,2.8,2026,72291,"Chicago, IL",,0.64516131,35,47,13,38,0.7447,0.3421,3,3,1.0000,,109.804,107.518,2.77835,94.185,-1.69215,-1.29083,-0.401321,-0.346285,29.7750,-0.138185,-0.208101,0.7500,4.1500,4.9000,1.0000,0.8500,0.1500,12.3000,"Wing G",8.67469,2001-10-15
"Toneari Lane","San Diego",WCC,18,62.3,116.5,16.3,54.9,57.1,3.1,6.5,7.1,7,15,16,0.938,23,44,0.523,37,99,0.374,1,1.7,11.2,Sr,6-5,1,1.67578,111.812,1.9,2026,72294,"Atlanta, GA",39.4,1.88874819,13,22,10,22,0.5909,0.4545,0,0,,,115.907,114.049,1.75992,60.6025,0.371586,1.79645,-1.42487,1.37349,24.3842,2.901,-1.52751,0.6842,1.3158,2.0000,0.8947,0.7368,0.2105,9.8421,"Wing G",12.6374,2001-10-15
"Trae Broadnax",Rice,Amer,16,74.3,107.3,26.3,47.2,52.6,3,15.7,21.8,15.3,58,74,0.784,58,127,0.457,22,66,0.333,1.6,2.8,38.3,Sr,6-4,12,2.45371,116.203,4,2026,72299,"Savannah, GA",,1.48575402,26,52,32,75,0.5000,0.4267,0,0,,,110.639,111.063,2.40921,88.6229,1.99016,2.27003,-0.279868,2.81905,29.0389,2.86713,-0.0480881,0.8889,3.9444,4.8333,2.8889,1.3889,0.3889,14.8333,"Combo G",8.0626,2001-10-15
"Jeremiah Williams",Georgetown,BE,17,45.5,97.2,17.5,39.9,43.96,3.9,9.4,22.3,16.9,19,31,0.613,22,59,0.373,5,15,0.333,2.6,3.3,41.9,Sr,6-4,25,0.19893,95.5664,3.9,2026,72301,"Chicago, IL",1.4,2.43742032,14,31,8,28,0.4516,0.2857,1,2,0.5000,,106.323,106.403,1.76964,57.9602,-0.127674,-1.28182,1.15414,-0.794187,18.6059,-1.77341,0.979226,0.6471,1.5294,2.1765,2.2941,1.0588,0.4118,4.5882,"Scoring PG",2.77485,2001-10-15
"Keishon Porter",Evansville,MVC,14,46.9,84.1,22,38.5,43.38,3.6,10.4,13,17.2,25,37,0.676,31,70,0.443,5,30,0.167,1.1,1.4,37,Sr,6-5,1,-0.305709,88.5796,4.2,2026,72323,"Pinetops, NC",,0.86956522,19,34,12,36,0.5588,0.3333,5,7,0.7143,,112.755,110.36,1.91644,50.3546,-5.43821,-4.41454,-1.02367,-5.63691,22.0313,-4.39311,-1.24381,0.8125,2.0625,2.8750,1.2500,0.5000,0.1875,6.8750,"Wing G",5.40069,2001-10-15
"Alec Oglesby","Middle Tennessee",CUSA,14,64,113.8,14.6,61.1,60.38,1.8,5.9,5.9,13.6,9,18,0.5,7,21,0.333,32,69,0.464,0.3,2.5,20,Sr,6-5,0,1.47835,109.046,3,2026,72343,"Gainesville, FL",,1.15384615,6,11,1,10,0.5455,0.1000,0,0,,,109.018,106.056,2.51969,53.4444,3.3982,2.19503,1.20317,2.06371,25.4062,1.16926,0.894444,0.5000,1.4375,1.9375,0.9375,1.1250,0.0625,8.8750,"Combo G",11.3845,2001-09-13
"Tegra Izay","Southern Miss",SB,17,26.2,119.1,12.7,59.3,59.55,6,18.6,5,10.1,16,28,0.571,16,27,0.593,0,0,0,8.8,0.3,103.7,Sr,7-0,22,0.45203,104.86,5.8,2026,72357,"Montreal, Canada",20.8,0.74994067,12,16,4,11,0.7500,0.3636,5,6,0.8333,,106.297,107.064,0.993713,33.8703,0.322796,-2.68169,3.00448,0.167765,11.5474,-1.57833,1.74609,0.8947,1.9474,2.8421,0.3158,0.1053,0.8947,3.2632,C,0,2001-10-15
"Latrell Wrightsell Jr.",Alabama,SEC,10,37.4,103.5,20.2,41.8,44.2,0,9.6,13.7,6.1,11,13,0.846,17,38,0.447,21,78,0.269,0.4,1.9,11.2,Sr,6-3,3,1.61827,110.749,3,2026,72358,"Omaha, NE",,3.66666660,9,18,8,20,0.5000,0.4000,0,0,,,111.778,102.428,2.82394,41.7629,1.8911,2.90061,-1.00951,0.556957,25.4400,0.948099,-0.391141,0.0000,2.7000,2.7000,2.2000,0.9000,0.1000,10.8000,"Combo G",16.098,2001-10-15
"Isaiah Cottrell","Southern Utah",WAC,15,61.4,92.9,18.8,42.5,46.07,4,20.9,9.1,13.5,23,34,0.676,45,86,0.523,2,27,0.074,3.7,1.2,30.1,Sr,6-11,0,-0.0259056,92.1134,2,2026,72399,"Las Vegas, NV",85.2,1.16670001,38,59,7,27,0.6441,0.2593,16,18,0.8889,,115.668,115.18,1.64005,70.2091,-3.39374,-3.45888,0.0651392,-2.65281,23.3167,-1.90601,-0.746802,1.1111,4.5000,5.6111,1.1667,0.5000,1.1111,8.1667,"Wing F",4.03579,2001-10-15
"Nijel Pack",Oklahoma,SEC,17,72.7,126,22.3,61.6,62.84,2.1,10.1,20,14.5,18,22,0.818,42,80,0.525,55,122,0.451,1.3,1.5,10.9,Sr,5-10,9,3.90193,131.098,3.4,2026,72421,"Indianapolis, IN",78.4,1.89278126,14,22,28,58,0.6364,0.4828,0,0,,,110.054,109.455,2.51803,77.5064,3.53242,4.85133,-1.31891,6.31054,29.0706,6.63085,-0.320314,0.5294,2.7647,3.2941,3.1176,0.7647,0.3529,15.7059,"Combo G",14.1193,2001-05-22
"Andre Henry","UC Irvine",BW,14,41.5,109.3,17.2,47.6,52.41,2.1,11.2,9,8.7,18,20,0.9,19,41,0.463,14,43,0.326,0.4,1.5,23.8,Sr,6-4,4,0.864905,105.564,3.1,2026,72423,"La Canada Flintridge, CA",49.0,1.71420002,5,8,14,33,0.6250,0.4242,0,0,,,100.516,101.605,2.15866,44.7155,-0.262746,-0.119664,-0.143081,-0.289355,19.1286,-0.762903,0.473548,0.3571,2.1429,2.5000,0.8571,0.5000,0.0714,7.0000,"Wing G",9.17904,2001-10-15
"Josh Taylor","East Texas A&M",Slnd,16,42,90,19.5,47.9,49.63,10.3,11.7,10.7,23.7,10,16,0.625,29,60,0.483,4,13,0.308,3.7,1.1,21.9,Sr,6-8,10,-0.0737777,91.1507,3.3,2026,72433,"Atlanta, GA",,0.68180328,25,42,4,18,0.5952,0.2222,5,6,0.8333,,112.917,113.353,1.22705,43.2168,-3.38206,-4.14118,0.759121,-4.64718,16.8722,-2.97133,-1.67584,1.5556,2.1111,3.6667,0.8333,0.2778,0.6111,5.2778,PF/C,2.73111,2001-11-11
"Chad Baker-Mazara",USC,B10,16,74.9,118.1,27.3,52.9,61.03,2.2,13.3,20.9,16,92,101,0.911,55,108,0.509,36,98,0.367,4.9,1.3,49,Sr,6-7,4,4.28477,133.627,3.4,2026,72450,"Santo Domingo, Dominican Republic",,1.37502657,21,35,34,73,0.6000,0.4658,4,5,0.8000,,104.446,102.043,3.36605,91.3193,5.936,4.31843,1.61757,7.72517,30.4471,6.52466,1.20051,0.6471,3.8235,4.4706,3.2353,0.7647,1.2941,19.1176,"Wing G",10.9594,2000-01-27
"Dante Harris","Tennessee St.",OVC,14,81.9,99.8,20.4,43.1,47.4,1.6,10.6,25,17.5,38,58,0.655,50,118,0.424,6,19,0.316,0,3.5,42.3,Sr,6-0,10,0.679448,98.3908,2.6,2026,72478,"Washington, DC",19.0,2.11116368,26,47,24,71,0.5532,0.3380,0,0,,,108.887,113.269,2.4054,81.3587,-2.83437,-1.41418,-1.4202,-2.23047,31.5765,-1.56655,-0.663916,0.6471,3.1765,3.8235,4.4706,2.0000,0.0000,11.3529,"Scoring PG",2.25858,2001-10-15
"Jay Rodgers","Central Connecticut",NEC,13,74.1,109.7,26.4,49.2,54.03,0.3,10.2,50,20.6,31,37,0.838,34,79,0.43,18,45,0.4,0.3,0.5,29.8,Sr,6-3,1,2.41685,115.923,1.6,2026,72501,"Pickerington, OH",,2.86847196,13,29,21,50,0.4483,0.4200,0,0,,,115.26,120.323,1.44916,48.3945,-3.6664,1.39518,-5.06158,-1.82866,28.2667,2.21789,-4.04655,0.1333,2.5333,2.6667,7.2667,0.2667,0.0667,11.6667,"Pure PG",6.97081,2001-10-15
"Jalen Speer",Marshall,SB,17,78.1,106.9,27.2,47,50.22,0.6,12,34.9,16.9,36,44,0.818,38,100,0.38,48,134,0.358,0.4,1.5,18.8,Sr,6-1,50,2.44128,114.907,2.9,2026,72504,"Gainesville, FL",,2.33332005,10,22,28,78,0.4545,0.3590,0,0,,,110.804,111.541,2.48099,86.3875,-1.52205,1.43508,-2.95713,0.155411,30.8111,2.26217,-2.10676,0.1667,3.7778,3.9444,5.8333,0.7778,0.1667,14.6667,"Pure PG",14.2825,2001-10-15
"Saba Gigiberia","San Francisco",WCC,17,13.2,96.6,25.4,51.6,47.68,17.2,31.3,19.4,21,3,12,0.25,16,31,0.516,0,0,0,4.2,1.8,38.7,Sr,7-2,10,0.228666,103.573,3.9,2026,72520,"Tbilisi, Georgia",61.0,1.18180323,13,21,3,10,0.6190,0.3000,6,7,0.8571,,95.2055,95.3767,0.800257,24.7026,2.00411,-2.1469,4.15101,1.29484,6.2611,-0.0432612,1.3381,0.9444,1.8333,2.7778,0.7222,0.1667,0.3333,2.3889,C,0,2001-10-01
