_id,key,conf,team,year,style,posFreqs,doc_count,posClass,code,posConfidences,adj_rtg_margin_rank,def_adj_rtg_rank,off_adj_rtg_rank,adj_prod_margin_rank,def_adj_prod_rank,off_adj_prod_rank,adj_rapm_margin_rank,def_adj_rapm_rank,off_adj_rapm_rank,adj_rapm_prod_margin_rank,def_adj_rapm_prod_rank,off_adj_rapm_prod_rank,total_off_2p_attempts.value,total_off_3p_attempts.value,total_off_2prim_attempts.value,total_off_2pmid_attempts.value,off_adj_opp.value,off_poss.value,def_adj_opp.value,duration_mins.value,off_2p.value,off_2p_ast.value,off_3p.value,off_3p_ast.value,off_2prim.value,off_2prim_ast.value,off_2pmid.value,off_2pmid_ast.value,off_ft.value,off_ftr.value,off_2primr.value,off_2pmidr.value,off_3pr.value,off_scramble_2p.value,off_scramble_2p_ast.value,off_scramble_3p.value,off_scramble_3p_ast.value,off_scramble_2prim.value,off_scramble_2prim_ast.value,off_scramble_2pmid.value,off_scramble_2pmid_ast.value,off_scramble_ft.value,off_scramble_ftr.value,off_scramble_2primr.value,off_scramble_2pmidr.value,off_scramble_3pr.value,off_scramble_assist.value,off_trans_2p.value,off_trans_2p_ast.value,off_trans_3p.value,off_trans_3p_ast.value,off_trans_2prim.value,off_trans_2prim_ast.value,off_trans_2pmid.value,off_trans_2pmid_ast.value,off_trans_ft.value,off_trans_ftr.value,off_trans_2primr.value,off_trans_2pmidr.value,off_trans_3pr.value,off_trans_assist.value,off_ast_rim.value,off_ast_mid.value,off_ast_3p.value,off_efg.value,off_scramble_efg.value,off_trans_efg.value,off_team_poss.value,off_assist.value,off_to.value,off_orb.value,off_usage.value,def_team_poss.value,def_orb.value,def_ftr.value,def_to.value,def_2prim.value,off_team_poss_pct.value,def_team_poss_pct.value,off_rtg.value,off_adj_rtg.value,off_adj_prod.value,def_rtg.value,def_rtg.old_value,def_rtg.override,def_adj_rtg.value,def_adj_rtg.old_value,def_adj_rtg.override,def_adj_prod.value,def_adj_prod.old_value,def_adj_prod.override,roster.ncaa_id,roster.number,roster.height,roster.year_class,roster.pos,roster.origin,off_adj_rapm.value,off_adj_rapm.old_value,def_adj_rapm.value,def_adj_rapm.override,def_adj_rapm.old_value,off_adj_rapm_prod.value,def_adj_rapm_prod.value,def_adj_rapm_prod.old_value,def_adj_rapm_prod.override,tier,gender
4277964_Men_2019_all,"Tillman, Xavier",Big Ten Conference,Michigan St.,2019,"[[0, 0.8671, 0.0294, 0.0089], [1, 1.0898, 0.0333, 0.0101], [2, 0.6862, 0.0091, 0.0028], [3, 0, 0.0193, 0.0058], [4, 0.7479, 0.0236, 0.0072], [5, 1.1169, 0.0374, 0.0113], [6, 1.1705, 0.0456, 0.0138], [7, 1.0527, 0.0136, 0.0041], [8, 1.1819, 0.1696, 0.0514], [9, 0.8061, 0.1566, 0.0474], [10, 0.9986, 0.1959, 0.0593], [11, 0.7412, 0.0195, 0.0059], [12, 1.0314, 0.0456, 0.0138], [13, 1.2815, 0.0789, 0.0239], [14, 1.4059, 0.1226, 0.0371]]","[0, 0, 0, 0.5788, 0.4212]",586,PF/C,XaTillman,"[0, 0.0027, 0.1188, 0.4949, 0.3836]",14,6,72,8,2,44,1,2,26,1,1,22,250,50,193,57,108.6783,374.7167,96.27,997.7833,0.608,0,0.26,1.0,0.6943,0.7836,0.3158,0.5,0.6667,0.41,0.6433,0.19,0.1667,0.6667,0,0.4,1.0,0.7407,0.2,0.0,0.0,0.625,0.4571,0.7714,0.0857,0.1429,0.2727,0.7778,0,0.3889,1.0,0.8235,0.9286,0.0,0.0,0.8095,0.3889,0.6296,0.037,0.3333,0.2857,0.2766,0.2234,0.5,0.5717,0.6571,0.713,1700,0.177,0.1628,0.0987,0.213,1685,0.2344,0.0336,0.022,0.0695,0.8,0.7918,116.2791,4.6024,3.6819,84.8889,81.9635,Luck adjusted,-4.483,-5.0343,Luck adjusted,-3.5498,-3.9863,Luck adjusted,4277964.0,23.0,6-8,Jr,F,"Grand Rapids, MI",5.3951,5.3951,-5.161,Adjusted from Def 3P%,-5.7284,4.393,-4.0866,-4.5358,Adjusted from Def 3P%,High,Men
4066299_Men_2019_all,"Azubuike, Udoka",Big 12 Conference,Kansas,2019,"[[5, 0.9588, 0.041, 0.0107], [7, 1.0557, 0.0047, 0.0012], [8, 1.3592, 0.3286, 0.0862], [9, 0.7504, 0.3013, 0.079], [10, 0.9267, 0.0636, 0.0167], [12, 1.0946, 0.0291, 0.0076], [13, 1.4225, 0.1373, 0.036], [14, 1.296, 0.0944, 0.0248]]","[0, 0, 0, 0, 1]",346,C,UdAzubuike,"[0, 0, 0, 0, 1]",2,1,40,9,1,48,2,3,22,9,3,44,234,0,202,32,107.852,354.3631,94.4408,840.805,0.7436,0,0.0,0.0,0.802,0.7099,0.375,0.4167,0.4406,0.6111,0.8632,0.1368,0.0,0.7805,0,0.0,0.0,0.7647,0.2692,0.8571,0.3333,0.5385,0.6341,0.8293,0.1707,0.0,0.1563,0.7826,0,0.0,0.0,0.8571,0.9444,0.0,0.0,0.4,0.6522,0.913,0.087,0.0,0.1111,0.5862,0.0345,0.3793,0.7436,0.7805,0.7826,1387,0.0711,0.2032,0.1557,0.2357,1397,0.2598,0.0361,0.01,0.1079,0.687,0.6895,114.2191,5.2564,3.611,80.2338,77.2439,Luck adjusted,-5.2444,-5.8122,Luck adjusted,-3.6162,-4.0077,Luck adjusted,4066299.0,35.0,7-0,Sr,C,"Delta, Nigeria",5.5059,5.5059,-5.0489,Adjusted from Def 3P%,-5.6125,3.75,-3.4814,-3.87,Adjusted from Def 3P%,High,Men
4277951_Men_2019_all,"Garza, Luka",Big Ten Conference,Iowa,2019,"[[0, 0.9513, 0.0355, 0.0131], [1, 1.0652, 0.0156, 0.0058], [2, 1.0199, 0.0321, 0.0119], [4, 0.7962, 0.0227, 0.0084], [5, 1.0543, 0.0215, 0.008], [6, 1.2926, 0.0487, 0.018], [7, 0.9666, 0.0026, 0.001], [8, 1.2914, 0.1909, 0.0706], [9, 0.8811, 0.2267, 0.0838], [10, 1.0643, 0.0633, 0.0234], [11, 1.0707, 0.0997, 0.0369], [12, 1.0476, 0.0219, 0.0081], [13, 1.2437, 0.1311, 0.0485], [14, 1.2898, 0.0877, 0.0324]]","[0, 0, 0, 0.0372, 0.9628]",429,PF/C,LuGarza,"[0, 0.0002, 0.0619, 0.5875, 0.3504]",5,302,2,2,133,3,3,358,2,3,219,2,421,109,280,141,108.4951,599.1234,96.2955,992.4067,0.5891,0,0.3578,1.0,0.6857,0.6875,0.3972,0.625,0.6513,0.3679,0.5283,0.266,0.2057,0.619,0,0.0,0.0,0.6889,0.0968,0.4444,0.125,0.6923,0.8,0.6923,0.2769,0.0308,0.0513,0.6667,0,0.3333,1.0,0.76,0.8421,0.375,1.0,0.7273,0.7333,0.5556,0.1778,0.2667,0.0385,0.3333,0.0278,0.6389,0.5783,0.6,0.6222,1748,0.0872,0.0951,0.1243,0.3085,1729,0.2057,0.0316,0.015,0.06,0.8168,0.8061,119.92,7.9096,6.4608,98.2826,97.8351,Luck adjusted,-1.9278,-2.0122,Luck adjusted,-1.5539,-1.622,Luck adjusted,4277951.0,55.0,6-11,Jr,C,"Washington, DC",8.1284,8.1284,-1.7042,Adjusted from Def 3P%,-1.8592,6.7282,-1.3737,-1.4986,Adjusted from Def 3P%,High,Men
4431669_Men_2019_all,"Carey, Vernon",Atlantic Coast Conference,Duke,2019,"[[2, 0.9027, 0.0029, 0.001], [3, 0, 0.0033, 0.0011], [5, 1.0831, 0.0326, 0.0109], [7, 1.1199, 0.0024, 0.0008], [8, 1.2172, 0.2515, 0.0846], [9, 0.8839, 0.3028, 0.1018], [10, 0.986, 0.0617, 0.0207], [11, 1.1165, 0.0212, 0.0071], [12, 1.0902, 0.0419, 0.0141], [13, 1.4051, 0.1336, 0.0449], [14, 1.2714, 0.1463, 0.0492]]","[0, 0, 0, 0, 1]",439,C,VeCarey,"[0, 0, 0.0083, 0.0667, 0.925]",3,22,7,14,34,21,4,102,7,26,131,28,324,21,258,66,106.5928,460.0405,98.2034,770.81,0.5895,0,0.381,1.0,0.6512,0.631,0.3485,0.6522,0.6697,0.6319,0.7478,0.1913,0.0609,0.6923,0,0.0,0.0,0.7083,0.0882,0.5,0.5,0.7941,0.6538,0.9231,0.0769,0.0,0.0556,0.6341,0,0.5,1.0,0.6944,0.8,0.2,1.0,0.6667,0.9574,0.766,0.1064,0.1277,0.069,0.5333,0.0667,0.4,0.5884,0.6923,0.6489,1431,0.0765,0.1369,0.1193,0.2954,1383,0.2582,0.043,0.0159,0.0571,0.6287,0.6082,118.4859,6.7176,4.2236,87.5271,87.3481,Luck adjusted,-3.6632,-3.6976,Luck adjusted,-2.2279,-2.2488,Luck adjusted,4431669.0,1.0,6-10,Fr,C,"Southwest Ranches, FL",6.4886,6.4886,-2.9792,Adjusted from Def 3P%,-3.1857,4.1297,-1.8119,-1.9375,Adjusted from Def 3P%,High,Men
4395630_Men_2019_all,"Vassell, Devin",Atlantic Coast Conference,Florida St.,2019,"[[0, 0.8655, 0.1961, 0.0495], [1, 0.9847, 0.117, 0.0296], [2, 1.2097, 0.1671, 0.0422], [3, 1.1137, 0.0375, 0.0095], [4, 0.8216, 0.1158, 0.0292], [5, 1.0418, 0.034, 0.0086], [6, 1.1128, 0.0375, 0.0095], [7, 1.0641, 0.0405, 0.0102], [9, 0.5941, 0.0089, 0.0023], [13, 0.8433, 0.0632, 0.016], [14, 1.5502, 0.1824, 0.0461]]","[0.003, 0.0776, 0.8735, 0.0459, 0]",438,WG,DeVassell,"[0.0182, 0.3703, 0.4828, 0.1285, 0.0003]",23,72,32,17,35,29,5,24,20,12,17,32,187,105,71,116,106.8544,298.0116,97.3914,850.06,0.5348,0,0.4095,0.8605,0.7042,0.64,0.431,0.22,0.7458,0.2021,0.2432,0.3973,0.3596,0.4444,0,0.0,0.0,0.5556,0.2,0.3333,0.3333,0.7778,0.3913,0.3913,0.3913,0.2174,0.125,0.8542,0,0.4737,1.0,0.9167,0.7576,0.6667,0.25,0.5833,0.1791,0.5373,0.1791,0.2836,0.26,0.3673,0.0816,0.551,0.5634,0.3478,0.8134,1454,0.1145,0.0772,0.0517,0.1915,1466,0.1552,0.0263,0.0286,0.0409,0.7347,0.7393,124.7137,5.4781,4.0248,91.3134,90.1591,Luck adjusted,-2.9786,-3.1999,Luck adjusted,-2.2021,-2.3656,Luck adjusted,4395630.0,24.0,6-5,So,G,"Suwanee, GA",5.5571,5.5571,-3.8816,Adjusted from Def 3P%,-3.9931,4.0679,-2.8696,-2.952,Adjusted from Def 3P%,High,Men
4397016_Men_2019_all,"Dotson, Devon",Big 12 Conference,Kansas,2019,"[[0, 0.9003, 0.3064, 0.1045], [1, 0.9712, 0.1222, 0.0417], [2, 1.152, 0.0648, 0.0221], [3, 1.0192, 0.0603, 0.0206], [4, 0.645, 0.0423, 0.0144], [5, 1.0127, 0.0319, 0.0109], [6, 1.4354, 0.0251, 0.0086], [7, 1.3469, 0.0512, 0.0175], [9, 0.7663, 0.0199, 0.0068], [13, 1.1594, 0.0328, 0.0112], [14, 1.2282, 0.2432, 0.083]]","[1, 0, 0, 0, 0]",478,s-PG,DeDotson,"[0.5638, 0.432, 0.0042, 0, 0]",6,68,6,1,17,5,6,82,9,5,26,7,261,116,192,69,107.798,456.3234,94.6749,1016.26,0.5364,0,0.3017,0.5429,0.6406,0.1707,0.2464,0.0588,0.8284,0.4483,0.5093,0.183,0.3077,0.5455,0,0.375,0.6667,0.8333,0.0,0.2,0.0,1.0,0.1579,0.3158,0.2632,0.4211,1.0,0.6951,0,0.04,0.0,0.7917,0.2807,0.0,0.0,0.8421,0.7103,0.6729,0.0935,0.2336,0.7069,0.4958,0.1092,0.395,0.5106,0.5526,0.5467,1714,0.228,0.1578,0.0195,0.2722,1712,0.1054,0.0209,0.0362,0.0035,0.8489,0.845,117.0543,6.7926,5.7665,91.8285,89.2319,Luck adjusted,-3.034,-3.5273,Luck adjusted,-2.5637,-2.9806,Luck adjusted,4397016.0,1.0,6-2,So,G,"Charlotte, NC",6.2111,6.2111,-3.1676,Adjusted from Def 3P%,-3.7709,5.2212,-2.6767,-3.1865,Adjusted from Def 3P%,High,Men
4278507_Men_2019_all,"Wright, McKinley",Pac 12 Conference,Colorado,2019,"[[0, 0.7903, 0.2557, 0.093], [1, 1.0005, 0.179, 0.0651], [2, 1.1029, 0.0327, 0.0119], [3, 1.0456, 0.0692, 0.0252], [4, 0.8219, 0.087, 0.0316], [5, 1.0514, 0.071, 0.0258], [6, 1.2132, 0.0232, 0.0085], [7, 0.9725, 0.0728, 0.0265], [9, 0.6479, 0.0016, 0.0006], [13, 0.9082, 0.0321, 0.0117], [14, 1.1567, 0.1756, 0.0639]]","[1, 0, 0, 0, 0]",626,s-PG,McWright,"[0.6996, 0.2904, 0.0095, 0.0005, 0]",51,82,87,20,19,42,7,5,52,4,2,30,248,115,150,98,105.9681,448.5857,97.5751,1117.8067,0.5,0,0.3391,0.3077,0.5133,0.1429,0.4796,0.1489,0.7917,0.3306,0.4132,0.27,0.3168,0.4545,0,0.1667,1.0,0.5,0.0,0.3333,0.0,0.7143,0.4118,0.4706,0.1765,0.3529,1.5,0.5574,0,0.3143,0.2727,0.54,0.1852,0.6364,0.0,0.8298,0.4896,0.5208,0.1146,0.3646,0.9111,0.3522,0.1006,0.5472,0.5028,0.3824,0.526,1874,0.3046,0.2118,0.041,0.2544,1870,0.1453,0.0232,0.0193,0.0102,0.8644,0.8574,111.1868,4.285,3.7039,90.9375,90.8502,Luck adjusted,-2.9049,-2.9218,Luck adjusted,-2.4907,-2.5051,Luck adjusted,4278507.0,25.0,6-0,Jr,G,"North Robbinsdale, MN",4.5983,4.5983,-4.641,Adjusted from Def 3P%,-4.5831,4.0818,-3.9792,-3.9296,Adjusted from Def 3P%,High,Men
4066382_Men_2019_all,"Winston, Cassius",Big Ten Conference,Michigan St.,2019,"[[0, 0.8951, 0.2163, 0.0878], [1, 0.9193, 0.0855, 0.0347], [2, 1.2303, 0.1094, 0.0444], [3, 1.2287, 0.0489, 0.0198], [4, 0.8021, 0.0812, 0.033], [5, 1.1483, 0.048, 0.0195], [6, 1.454, 0.0179, 0.0073], [7, 1.0591, 0.1312, 0.0533], [9, 0.6926, 0.0158, 0.0064], [13, 1.25, 0.041, 0.0167], [14, 1.1053, 0.2048, 0.0832]]","[1, 0, 0, 0, 0]",581,PG,CaWinston,"[0.9586, 0.0414, 0.0001, 0, 0]",20,344,5,12,183,7,8,184,5,8,105,5,244,169,106,138,109.0914,491.575,96.0549,980.5683,0.459,0,0.432,0.6164,0.5189,0.1636,0.413,0.2807,0.8496,0.322,0.2567,0.3341,0.4092,0.4167,0,0.4667,1.0,0.5,0.5,0.375,1.0,1.0,0.2963,0.1481,0.2963,0.5556,0.5833,0.431,0,0.3878,0.3684,0.4595,0.2353,0.381,0.0,0.82,0.4673,0.3458,0.1963,0.4579,1.4091,0.6171,0.1086,0.2743,0.5363,0.5741,0.5,1680,0.3479,0.1953,0.0073,0.3028,1666,0.0703,0.0248,0.0216,0.0011,0.7906,0.7829,115.4658,6.8791,5.4386,99.6759,97.3435,Luck adjusted,-1.7676,-2.2055,Luck adjusted,-1.3838,-1.7267,Luck adjusted,4066382.0,5.0,6-0,Sr,G,"Detroit, MI",6.7374,6.7374,-2.446,Adjusted from Def 3P%,-2.9614,5.4152,-1.9149,-2.3185,Adjusted from Def 3P%,High,Men
4065805_Men_2019_all,"Howard, Markus",Big East Conference,Marquette,2019,"[[0, 0.9058, 0.2855, 0.1316], [1, 1.0368, 0.0844, 0.0389], [2, 1.1474, 0.1077, 0.0497], [3, 1.0747, 0.1115, 0.0514], [4, 0.8232, 0.07, 0.0323], [5, 1.0058, 0.0258, 0.0119], [6, 1.6151, 0.0222, 0.0102], [7, 1.0224, 0.0482, 0.0222], [9, 0.7986, 0.0039, 0.0018], [13, 1.1082, 0.0419, 0.0193], [14, 1.2972, 0.1989, 0.0917]]","[0.8263, 0.1737, 0, 0, 0]",536,s-PG,MaHoward,"[0.7968, 0.2013, 0.0019, 0, 0]",4,678,1,3,590,1,9,600,1,7,493,1,266,294,115,151,108.2017,679.0631,96.4897,961.365,0.4361,0,0.4116,0.5455,0.4609,0.0755,0.4172,0.127,0.8474,0.4446,0.2054,0.2696,0.525,0.4545,0,0.3636,1.0,0.75,0.3333,0.2857,0.5,0.875,0.2424,0.1212,0.2121,0.6667,0.3077,0.4286,0,0.4875,0.5385,0.4706,0.0625,0.3333,0.0,0.8286,0.5426,0.2636,0.1163,0.6202,0.4833,0.4105,0.0526,0.5368,0.5313,0.5152,0.6163,1716,0.261,0.1443,0.0182,0.3794,1697,0.0917,0.0289,0.0159,0.001,0.803,0.793,117.9986,9.3243,7.4874,104.8706,103.7275,Luck adjusted,-0.6305,-0.8469,Luck adjusted,-0.5,-0.6716,Luck adjusted,4065805.0,0.0,5-11,Sr,G,"Chandler, AZ",8.3793,8.3793,-0.739,Adjusted from Def 3P%,-0.9441,6.7756,-0.586,-0.7486,Adjusted from Def 3P%,High,Men
4066354_Men_2019_all,"Pritchard, Payton",Pac 12 Conference,Oregon,2019,"[[0, 0.8843, 0.2411, 0.0975], [1, 1.1304, 0.1592, 0.0644], [2, 1.2265, 0.1146, 0.0463], [3, 1.1374, 0.0689, 0.0279], [4, 0.7067, 0.0507, 0.0205], [5, 1.0619, 0.0594, 0.024], [6, 1.4862, 0.0165, 0.0067], [7, 0.9915, 0.0699, 0.0283], [9, 0.531, 0.0163, 0.0066], [13, 1.3378, 0.0425, 0.0172], [14, 1.2643, 0.1609, 0.0651]]","[1, 0, 0, 0, 0]",605,s-PG,PaPritchard,"[0.8188, 0.1796, 0.0015, 0, 0]",17,537,3,4,316,2,10,293,3,2,143,3,250,212,153,97,105.9852,524.4841,97.0287,1132.9617,0.512,0,0.4151,0.6818,0.6013,0.1522,0.3711,0.1389,0.8214,0.303,0.3312,0.21,0.4589,0.625,0,0.4545,1.0,0.6,0.0,0.6667,1.0,1.0,0.1667,0.1667,0.1,0.7333,0.2667,0.6164,0,0.3889,0.6429,0.6724,0.2821,0.4,0.1667,0.8649,0.3394,0.5321,0.1376,0.3303,0.8644,0.4593,0.064,0.4767,0.5628,0.6667,0.6055,1847,0.3203,0.1621,0.0224,0.2866,1830,0.1152,0.0237,0.0257,0.0011,0.8901,0.8785,122.3753,7.634,6.7952,99.8517,99.1825,Luck adjusted,-1.1852,-1.3145,Luck adjusted,-1.0413,-1.1549,Luck adjusted,4066354.0,3.0,6-2,Sr,G,"West Linn, OR",7.0838,7.0838,-1.9583,Adjusted from Def 3P%,-2.1236,6.4007,-1.7204,-1.8657,Adjusted from Def 3P%,High,Men
