Table,Column,Type,Sample Value
fact_team_season_stats,opponentStats,"STRUCT(assists INTEGER, blocks INTEGER, steals INTEGER, possessions INTEGER, trueShooting DOUBLE, rating DOUBLE, fieldGoals STRUCT(made INTEGER, attempted INTEGER, pct DOUBLE), twoPointFieldGoals STRUCT(made INTEGER, attempted INTEGER, pct DOUBLE), threePointFieldGoals STRUCT(made INTEGER, attempted INTEGER, pct DOUBLE), freeThrows STRUCT(made INTEGER, attempted INTEGER, pct DOUBLE), rebounds STRUCT(offensive INTEGER, defensive INTEGER, total INTEGER), turnovers STRUCT(total INTEGER, teamTotal INTEGER), fouls STRUCT(total INTEGER, technical INTEGER, flagrant INTEGER), points STRUCT(total INTEGER, inPaint INTEGER, offTurnovers INTEGER, fastBreak INTEGER), fourFactors STRUCT(effectiveFieldGoalPct DOUBLE, turnoverRatio DOUBLE, offensiveReboundPct DOUBLE, freeThrowRate DOUBLE))","{'assists': 383, 'blocks': 143, 'steals': 259, 'possessions': 2172, 'trueShooting': 55.2, 'rating': 103.5, 'fieldGoals': {'made': 747, 'attempted': 1675, 'pct': 44.6}, 'twoPointFieldGoals': {'made': 566, 'attempted': 1098, 'pct': 51.5}, 'threePointFieldGoals': {'made': 181, 'attempted': 577, 'pct': 31.4}, 'freeThrows': {'made': 574, 'attempted': 825, 'pct': 69.6}, 'rebounds': {'offensive': 312, 'defensive': 762, 'total': 1074}, 'turnovers': {'total': 547, 'teamTotal': 28}, 'fouls': {'total': 570, 'technical': 5, 'flagrant': 0}, 'points': {'total': 2249, 'inPaint': 1032, 'offTurnovers': 459, 'fastBreak': 306}, 'fourFactors': {'effectiveFieldGoalPct': 50.0, 'turnoverRatio': 0.25, 'offensiveReboundPct': 29.1, 'freeThrowRate': 49.3}}"
stg_lineups,gameId,VARCHAR,24
stg_lineups,teamId,BIGINT,115
stg_lineups,conference,VARCHAR,Horizon
stg_lineups,lineupHash,VARCHAR,623-624-625-626-627
stg_lineups,totalSeconds,BIGINT,2400
stg_lineups,pace,DOUBLE,68.5
stg_lineups,offenseRating,DOUBLE,123.5
stg_lineups,defenseRating,DOUBLE,78.6
stg_lineups,netRating,DOUBLE,44.9
stg_lineups,athletes,"STRUCT(id INTEGER, ""name"" VARCHAR)[]","[{'id': 623, 'name': 'Timaris Brown'}, {'id': 624, 'name': 'Keenan Garner'}, {'id': 625, 'name': 'Sean Craig'}, {'id': 626, 'name': 'Paul Zilinskas'}, {'id': 627, 'name': 'Jarvis Walker'}]"
stg_participants,gameId,VARCHAR,24
stg_participants,playId,BIGINT,4661
stg_participants,athleteId,INTEGER,608
stg_participants,athlete_name,VARCHAR,Nathan Pickett
stg_plays,gameId,VARCHAR,24
stg_plays,playId,BIGINT,4661
stg_plays,teamId,DOUBLE,492.0
stg_plays,opponentId,DOUBLE,115.0
stg_plays,playType,VARCHAR,Lost Ball Turnover
stg_plays,scoringPlay,BOOLEAN,False
stg_plays,shootingPlay,BOOLEAN,False
stg_plays,scoreValue,BIGINT,0
stg_plays,period,BIGINT,1
stg_plays,secondsRemaining,BIGINT,1186
stg_plays,homeScore,BIGINT,0
stg_plays,awayScore,BIGINT,0
stg_plays,homeWinProbability,DOUBLE,0.641
stg_plays,playText,VARCHAR,Nathan Pickett Turnover.
stg_plays,shotInfo,"STRUCT(shooter STRUCT(id INTEGER, ""name"" VARCHAR), made BOOLEAN, ""range"" VARCHAR, assisted BOOLEAN, assistedBy STRUCT(id INTEGER, ""name"" VARCHAR), ""location"" STRUCT(x DOUBLE, y INTEGER))","{'shooter': {'id': 625, 'name': 'Sean Craig'}, 'made': True, 'range': 'three_pointer', 'assisted': True, 'assistedBy': {'id': 626, 'name': 'Paul Zilinskas'}, 'location': {'x': 648.6, 'y': 160}}"
stg_plays,participants,"STRUCT(id INTEGER, ""name"" VARCHAR)[]","[{'id': 608, 'name': 'Nathan Pickett'}]"
stg_shots,gameId,VARCHAR,24
stg_shots,playId,BIGINT,4662
stg_shots,teamId,DOUBLE,115.0
stg_shots,opponentId,DOUBLE,492.0
stg_shots,period,BIGINT,1
stg_shots,secondsRemaining,BIGINT,1170
stg_shots,homeScore,BIGINT,3
stg_shots,awayScore,BIGINT,0
stg_shots,homeWinProbability,DOUBLE,0.729
stg_shots,scoreValue,BIGINT,3
stg_shots,shooterAthleteId,INTEGER,625
stg_shots,shooter_name,VARCHAR,Sean Craig
stg_shots,made,BOOLEAN,True
stg_shots,shot_range,VARCHAR,three_pointer
stg_shots,assisted,BOOLEAN,True
stg_shots,assistAthleteId,INTEGER,626
stg_shots,is_high_leverage,BOOLEAN,False
stg_shots,is_garbage,BOOLEAN,False
stg_subs,gameId,VARCHAR,24
stg_subs,teamId,BIGINT,115
stg_subs,athleteId,BIGINT,623
stg_subs,athlete_name,VARCHAR,Timaris Brown
stg_subs,subIn_secondsRemaining,INTEGER,1200
stg_subs,subIn_period,INTEGER,1
stg_subs,subOut_secondsRemaining,INTEGER,0
stg_subs,subOut_period,INTEGER,2
